"key","message","comment","context"
"Add state to the addresses!!",,,
"Address",,,
"Addresses",,,
"App",,,
"App Gst",,,
"App gst",,,
"CGST",,,
"Company",,,
"Countries",,,
"Country",,,
"GST Rate",,,
"GST rate",,,
"GSTIN",,,
"Gst",,,
"HSBN",,,
"IGST",,,
"Invoice",,,
"Invoice line",,,
"Name",,,
"Net CSGT",,,
"Net IGST",,,
"Net SGST",,,
"PO line",,,
"Partner",,,
"Product",,,
"Product categories",,,
"Product category",,,
"SGST",,,
"SO line",,,
"Sale order",,,
"State",,,
"States",,,
"Supplier RFQ/PO",,,
"Test",,,
